Algorithm,Allocation,Processes,MessageSize,Latency, MinLatency, MaxLatency
Default,core,20,16,2.03,0.89,3.03
Default,core,20,32,2.30,1.02,3.45
Default,core,20,64,2.26,0.99,3.36
Default,core,20,128,3.49,1.86,5.16
Default,core,20,256,3.57,1.94,5.28
Default,core,20,512,3.76,2.15,5.60
Default,core,20,1024,4.53,2.69,6.71
Default,core,20,2048,5.72,3.55,8.31
Default,core,20,4096,6.52,4.16,9.14
Default,core,20,8192,9.82,6.64,13.35
Default,core,20,16384,24.51,11.83,37.74
Default,core,20,32768,42.45,19.14,63.15
Default,core,20,65536,81.29,34.39,123.52
Default,core,20,131072,155.75,61.41,238.92
Default,core,20,262144,299.62,117.81,458.76
Default,core,20,524288,574.36,227.99,875.91
Default,core,20,1048576,898.04,825.98,950.33
Default,core,22,1,1.86,0.89,3.04
Default,core,22,2,1.90,0.93,3.07
Default,core,22,4,1.91,0.92,3.08
Default,core,22,8,1.90,0.90,3.05
Default,core,22,16,2.00,0.96,3.32
Default,core,22,32,2.22,1.11,3.51
Default,core,22,64,2.17,1.07,3.43
Default,core,22,128,3.36,1.85,5.27
Default,core,22,256,3.41,1.80,5.36
Default,core,22,512,3.60,1.91,5.68
Default,core,22,1024,4.41,2.50,6.78
Default,core,22,2048,5.54,3.34,8.36
Default,core,22,4096,7.06,4.39,9.71
Default,core,22,8192,10.32,6.75,14.40
Default,core,22,16384,24.35,11.63,36.18
Default,core,22,32768,42.49,18.61,61.69
Default,core,22,65536,81.37,33.95,119.25
Default,core,22,131072,156.84,61.05,234.31
Default,core,22,262144,296.48,115.80,430.37
Default,core,22,524288,571.49,219.85,854.25
Default,core,22,1048576,865.77,787.75,944.74
Default,core,24,1,1.75,0.77,3.06
Default,core,24,2,1.74,0.82,3.02
Default,core,24,4,1.73,0.83,2.98
Default,core,24,8,1.73,0.83,2.98
Default,core,24,16,1.72,0.82,2.98
Default,core,24,32,2.09,1.00,3.38
Default,core,24,64,2.04,0.93,3.34
Default,core,24,128,3.18,1.74,5.26
Default,core,24,256,3.25,1.80,5.32
Default,core,24,512,3.52,2.02,5.69
Default,core,24,1024,4.25,2.48,6.72
Default,core,24,2048,5.46,3.36,8.51
Default,core,24,4096,7.51,4.37,10.47
