Algorithm,Allocation,Processes,MessageSize,Latency,MinLatency,MaxLatency
BinaryTree,core,20,4,2.13,0.44,2.74
BinaryTree,core,20,8,2.13,0.44,2.73
BinaryTree,core,20,16,2.12,0.45,2.73
BinaryTree,core,20,32,2.49,0.48,3.28
BinaryTree,core,20,64,2.45,0.48,3.20
BinaryTree,core,20,128,3.12,0.79,4.12
BinaryTree,core,20,256,3.18,0.81,4.20
BinaryTree,core,20,512,3.40,0.82,4.47
BinaryTree,core,20,1024,3.92,0.92,5.26
BinaryTree,core,20,2048,4.84,1.13,6.57
BinaryTree,core,20,4096,7.03,1.53,9.21
BinaryTree,core,20,8192,10.56,2.36,13.91
BinaryTree,core,20,16384,23.90,6.11,30.72
BinaryTree,core,20,32768,38.52,9.59,50.75
BinaryTree,core,20,65536,69.29,16.60,91.48
BinaryTree,core,20,131072,130.07,30.04,171.40
BinaryTree,core,20,262144,245.76,56.46,324.77
BinaryTree,core,20,524288,461.72,101.64,612.01
BinaryTree,core,20,1048576,886.51,216.38,1165.20
BinaryTree,core,22,1,2.11,0.44,3.03
BinaryTree,core,22,2,2.06,0.43,2.94
BinaryTree,core,22,4,2.04,0.43,2.92
BinaryTree,core,22,8,2.06,0.45,2.94
BinaryTree,core,22,16,2.05,0.45,2.94
BinaryTree,core,22,32,2.48,0.45,3.56
BinaryTree,core,22,64,2.37,0.46,3.31
BinaryTree,core,22,128,3.11,0.76,4.32
BinaryTree,core,22,256,3.19,0.77,4.42
BinaryTree,core,22,512,3.40,0.78,4.74
BinaryTree,core,22,1024,4.03,0.89,5.62
BinaryTree,core,22,2048,4.93,1.07,6.77
BinaryTree,core,22,4096,7.43,1.62,9.58
BinaryTree,core,22,8192,10.86,2.29,14.11
BinaryTree,core,22,16384,24.81,6.11,31.07
BinaryTree,core,22,32768,40.04,9.55,51.05
BinaryTree,core,22,65536,71.19,16.38,92.34
BinaryTree,core,22,131072,130.96,29.15,169.62
BinaryTree,core,22,262144,247.44,55.03,324.37
BinaryTree,core,22,524288,469.70,98.24,618.18
BinaryTree,core,22,1048576,916.47,212.69,1195.05
BinaryTree,core,24,1,2.02,0.44,3.11
BinaryTree,core,24,2,2.04,0.45,3.15
BinaryTree,core,24,4,2.02,0.45,3.10
BinaryTree,core,24,8,2.05,0.44,3.14
BinaryTree,core,24,16,2.01,0.44,3.09
BinaryTree,core,24,32,2.42,0.47,3.54
BinaryTree,core,24,64,2.39,0.47,3.52
BinaryTree,core,24,128,3.25,0.80,4.83
BinaryTree,core,24,256,3.31,0.80,4.92
BinaryTree,core,24,512,3.47,0.80,5.16
BinaryTree,core,24,1024,4.21,0.92,6.19
BinaryTree,core,24,2048,5.24,1.11,7.46
BinaryTree,core,24,4096,7.82,1.71,10.51
BinaryTree,core,24,8192,11.61,2.35,15.74
BinaryTree,core,24,16384,25.35,6.11,31.65
BinaryTree,core,24,32768,40.55,9.06,49.45
BinaryTree,core,24,65536,71.63,16.04,89.91
BinaryTree,core,24,131072,131.42,29.00,167.06
BinaryTree,core,24,262144,249.34,54.02,318.01
BinaryTree,core,24,524288,480.59,107.30,618.98
BinaryTree,core,24,1048576,925.00,212.90,1184.34
BinaryTree,core,26,1,1.80,0.45,3.08
BinaryTree,core,26,2,1.78,0.45,3.06
BinaryTree,core,26,4,1.76,0.45,3.05
BinaryTree,core,26,8,1.77,0.45,3.05
BinaryTree,core,26,16,1.77,0.44,3.04
BinaryTree,core,26,32,2.24,0.48,3.50
BinaryTree,core,26,64,2.21,0.48,3.52
BinaryTree,core,26,128,3.04,0.79,4.68
BinaryTree,core,26,256,3.09,0.79,4.74
BinaryTree,core,26,512,3.26,0.79,4.99
BinaryTree,core,26,1024,4.02,0.91,6.02
BinaryTree,core,26,2048,5.16,1.10,7.39
BinaryTree,core,26,4096,7.75,1.68,11.04
BinaryTree,core,26,8192,11.82,2.32,16.22
BinaryTree,core,26,16384,26.16,6.24,31.53
BinaryTree,core,26,32768,41.68,9.69,50.77
BinaryTree,core,26,65536,73.45,16.75,90.32
BinaryTree,core,26,131072,135.00,29.82,167.11
BinaryTree,core,26,262144,251.66,53.91,314.72
BinaryTree,core,26,524288,488.67,104.18,621.20
BinaryTree,core,26,1048576,943.32,210.92,1182.47
BinaryTree,core,28,1,1.72,0.41,3.10
BinaryTree,core,28,2,1.71,0.42,3.10
BinaryTree,core,28,4,1.70,0.41,3.08
BinaryTree,core,28,8,1.69,0.40,3.07
BinaryTree,core,28,16,1.69,0.40,3.07
BinaryTree,core,28,32,2.13,0.47,3.56
BinaryTree,core,28,64,2.17,0.47,3.58
BinaryTree,core,28,128,2.98,0.77,4.87
BinaryTree,core,28,256,3.10,0.79,4.97
BinaryTree,core,28,512,3.24,0.79,5.21
BinaryTree,core,28,1024,4.21,0.98,6.50
BinaryTree,core,28,2048,5.24,1.10,7.93
BinaryTree,core,28,4096,8.03,1.69,12.02
BinaryTree,core,28,8192,12.13,2.35,18.00
BinaryTree,core,28,16384,26.01,6.04,30.96
BinaryTree,core,28,32768,41.57,9.51,49.72
BinaryTree,core,28,65536,73.15,15.99,88.49
BinaryTree,core,28,131072,136.34,28.81,170.75
BinaryTree,core,28,262144,255.25,53.52,323.48
BinaryTree,core,28,524288,495.77,104.25,632.46
BinaryTree,core,28,1048576,964.03,210.92,1213.84
BinaryTree,core,30,1,1.86,0.46,3.56
BinaryTree,core,30,2,1.87,0.47,3.59
BinaryTree,core,30,4,1.86,0.47,3.57
BinaryTree,core,30,8,1.86,0.47,3.54
BinaryTree,core,30,16,1.90,0.46,3.69
BinaryTree,core,30,32,2.27,0.48,3.94
BinaryTree,core,30,64,2.33,0.48,4.00
BinaryTree,core,30,128,3.20,0.76,5.36
BinaryTree,core,30,256,3.32,0.76,5.43
BinaryTree,core,30,512,3.68,0.76,5.91
BinaryTree,core,30,1024,4.34,0.89,6.76
BinaryTree,core,30,2048,5.77,1.10,8.88
BinaryTree,core,30,4096,8.47,1.62,12.71
BinaryTree,core,30,8192,12.80,2.32,19.35
BinaryTree,core,30,16384,26.69,6.11,33.03
BinaryTree,core,30,32768,42.26,9.62,52.52
BinaryTree,core,30,65536,74.37,16.58,95.46
BinaryTree,core,30,131072,137.53,28.20,176.14
BinaryTree,core,30,262144,262.49,54.58,337.67
BinaryTree,core,30,524288,509.07,101.77,655.97
BinaryTree,core,30,1048576,993.05,215.67,1267.48
BinaryTree,core,32,1,2.35,0.46,3.85
BinaryTree,core,32,2,2.32,0.46,3.80
BinaryTree,core,32,4,2.32,0.46,3.81
BinaryTree,core,32,8,2.32,0.46,3.80
BinaryTree,core,32,16,2.32,0.45,3.80
BinaryTree,core,32,32,2.83,0.54,4.45
BinaryTree,core,32,64,2.92,0.54,4.77
BinaryTree,core,32,128,3.86,0.82,6.18
BinaryTree,core,32,256,4.09,0.85,6.77
BinaryTree,core,32,512,4.34,0.84,7.26
BinaryTree,core,32,1024,5.21,0.95,8.57
BinaryTree,core,32,2048,6.53,1.11,10.98
BinaryTree,core,32,4096,9.35,1.72,15.13
BinaryTree,core,32,8192,13.66,2.35,22.06
BinaryTree,core,32,16384,27.51,5.80,37.61
BinaryTree,core,32,32768,43.46,9.12,60.28
BinaryTree,core,32,65536,78.86,16.28,108.99
BinaryTree,core,32,131072,152.65,29.98,204.12
BinaryTree,core,32,262144,293.59,55.94,390.06
BinaryTree,core,32,524288,568.40,106.21,752.25
BinaryTree,core,32,1048576,1101.22,215.44,1450.92
BinaryTree,core,34,1,3.88,0.41,4.44
BinaryTree,core,34,2,3.89,0.41,4.45
BinaryTree,core,34,4,3.86,0.41,4.43
BinaryTree,core,34,8,3.88,0.41,4.44
BinaryTree,core,34,16,3.89,0.40,4.44
BinaryTree,core,34,32,4.34,0.45,4.98
BinaryTree,core,34,64,4.18,0.45,4.84
BinaryTree,core,34,128,5.39,0.78,6.52
BinaryTree,core,34,256,5.83,0.80,7.18
BinaryTree,core,34,512,5.85,0.81,7.40
BinaryTree,core,34,1024,6.69,0.88,8.78
BinaryTree,core,34,2048,8.02,1.06,10.78
BinaryTree,core,34,4096,10.88,1.59,15.45
BinaryTree,core,34,8192,15.28,2.18,22.80
BinaryTree,core,34,16384,29.20,5.70,39.19
BinaryTree,core,34,32768,45.74,8.94,64.03
BinaryTree,core,34,65536,82.00,15.83,117.63
BinaryTree,core,34,131072,163.28,29.74,227.45
BinaryTree,core,34,262144,313.45,55.98,434.45
BinaryTree,core,34,524288,614.17,107.78,845.20
BinaryTree,core,34,1048576,1184.47,216.39,1627.00
BinaryTree,core,36,1,3.76,0.41,4.45
BinaryTree,core,36,2,3.72,0.41,4.41
BinaryTree,core,36,4,3.73,0.41,4.40
BinaryTree,core,36,8,3.72,0.41,4.41
BinaryTree,core,36,16,3.83,0.55,4.52
BinaryTree,core,36,32,4.18,0.45,4.89
BinaryTree,core,36,64,4.17,0.45,4.92
BinaryTree,core,36,128,5.21,0.79,6.50
BinaryTree,core,36,256,5.63,0.80,7.17
BinaryTree,core,36,512,5.63,0.80,7.27
BinaryTree,core,36,1024,6.48,0.89,8.60
BinaryTree,core,36,2048,8.01,1.09,11.08
BinaryTree,core,36,4096,11.03,1.65,16.00
BinaryTree,core,36,8192,15.69,2.28,23.87
BinaryTree,core,36,16384,30.22,5.85,41.54
BinaryTree,core,36,32768,47.72,9.20,69.27
BinaryTree,core,36,65536,86.58,16.01,128.63
BinaryTree,core,36,131072,178.39,30.06,249.61
BinaryTree,core,36,262144,340.66,56.03,475.13
BinaryTree,core,36,524288,668.81,107.80,924.44
BinaryTree,core,36,1048576,1307.96,215.12,1793.97
BinaryTree,core,38,1,3.54,0.40,4.44
BinaryTree,core,38,2,3.52,0.40,4.39
BinaryTree,core,38,4,3.52,0.39,4.38
BinaryTree,core,38,8,3.50,0.39,4.38
BinaryTree,core,38,16,3.54,0.39,4.39
BinaryTree,core,38,32,3.96,0.44,4.85
BinaryTree,core,38,64,3.88,0.32,5.04
BinaryTree,core,38,128,4.94,0.71,6.40
BinaryTree,core,38,256,5.37,0.70,7.00
BinaryTree,core,38,512,5.31,0.68,7.11
BinaryTree,core,38,1024,6.27,0.75,8.51
BinaryTree,core,38,2048,7.70,0.89,10.95
BinaryTree,core,38,4096,10.73,1.38,15.79
BinaryTree,core,38,8192,15.58,1.90,24.41
BinaryTree,core,38,16384,31.00,5.67,43.86
BinaryTree,core,38,32768,50.35,9.12,74.71
BinaryTree,core,38,65536,91.36,15.86,138.61
BinaryTree,core,38,131072,199.96,29.61,269.87
BinaryTree,core,38,262144,388.00,57.01,519.70
BinaryTree,core,38,524288,756.50,108.72,1008.25
BinaryTree,core,38,1048576,1469.25,206.41,1951.11
BinaryTree,core,40,1,3.49,0.35,4.49
BinaryTree,core,40,2,3.49,0.35,4.51
BinaryTree,core,40,4,3.46,0.33,4.44
BinaryTree,core,40,8,3.47,0.34,4.46
BinaryTree,core,40,16,3.50,0.34,4.55
BinaryTree,core,40,32,3.89,0.37,4.92
BinaryTree,core,40,64,3.85,0.30,5.13
BinaryTree,core,40,128,4.80,0.54,6.25
