Algorithm,Allocation,Processes,MessageSize,Latency
Pipeline,socket,16,16,4.42
Pipeline,socket,16,32,6.67
Pipeline,socket,16,64,6.09
Pipeline,socket,16,128,9.70
Pipeline,socket,16,256,9.83
Pipeline,socket,16,512,11.03
Pipeline,socket,16,1024,12.76
Pipeline,socket,16,2048,16.68
Pipeline,socket,16,4096,23.25
Pipeline,socket,16,8192,36.19
Pipeline,socket,16,16384,69.01
Pipeline,socket,16,32768,109.51
Pipeline,socket,16,65536,187.33
Pipeline,socket,16,131072,341.31
Pipeline,socket,16,262144,654.17
Pipeline,socket,16,524288,1300.10
Pipeline,socket,16,1048576,2452.06
Pipeline,socket,17,1,4.91
Pipeline,socket,17,2,4.87
Pipeline,socket,17,4,4.85
Pipeline,socket,17,8,5.71
Pipeline,socket,17,16,4.85
Pipeline,socket,17,32,7.17
Pipeline,socket,17,64,6.69
Pipeline,socket,17,128,10.43
Pipeline,socket,17,256,10.54
Pipeline,socket,17,512,11.78
Pipeline,socket,17,1024,13.70
Pipeline,socket,17,2048,17.79
Pipeline,socket,17,4096,24.74
Pipeline,socket,17,8192,38.34
Pipeline,socket,17,16384,75.23
Pipeline,socket,17,32768,118.82
Pipeline,socket,17,65536,194.98
Pipeline,socket,17,131072,368.17
Pipeline,socket,17,262144,716.08
Pipeline,socket,17,524288,1387.57
Pipeline,socket,17,1048576,2639.01
Pipeline,socket,18,1,5.31
Pipeline,socket,18,2,5.29
Pipeline,socket,18,4,5.74
Pipeline,socket,18,8,5.41
Pipeline,socket,18,16,5.26
Pipeline,socket,18,32,7.80
Pipeline,socket,18,64,7.17
Pipeline,socket,18,128,11.36
Pipeline,socket,18,256,11.50
Pipeline,socket,18,512,12.78
Pipeline,socket,18,1024,14.94
Pipeline,socket,18,2048,19.55
Pipeline,socket,18,4096,26.63
Pipeline,socket,18,8192,41.07
Pipeline,socket,18,16384,76.91
Pipeline,socket,18,32768,121.06
Pipeline,socket,18,65536,214.99
Pipeline,socket,18,131072,382.36
Pipeline,socket,18,262144,731.06
Pipeline,socket,18,524288,1411.51
Pipeline,socket,18,1048576,2894.40
Pipeline,socket,19,1,5.44
Pipeline,socket,19,2,5.39
Pipeline,socket,19,4,6.29
Pipeline,socket,19,8,5.41
Pipeline,socket,19,16,5.39
Pipeline,socket,19,32,7.99
Pipeline,socket,19,64,7.31
Pipeline,socket,19,128,11.61
Pipeline,socket,19,256,11.83
Pipeline,socket,19,512,13.24
Pipeline,socket,19,1024,15.60
Pipeline,socket,19,2048,20.42
Pipeline,socket,19,4096,28.00
Pipeline,socket,19,8192,43.46
Pipeline,socket,19,16384,81.79
Pipeline,socket,19,32768,129.12
Pipeline,socket,19,65536,219.37
Pipeline,socket,19,131072,412.58
Pipeline,socket,19,262144,784.33
Pipeline,socket,19,524288,1523.54
Pipeline,socket,19,1048576,2889.46
Pipeline,socket,20,1,5.81
Pipeline,socket,20,2,5.76
Pipeline,socket,20,4,6.35
Pipeline,socket,20,8,5.78
Pipeline,socket,20,16,5.78
Pipeline,socket,20,32,8.68
Pipeline,socket,20,64,7.88
Pipeline,socket,20,128,12.66
Pipeline,socket,20,256,12.87
Pipeline,socket,20,512,14.22
Pipeline,socket,20,1024,16.78
Pipeline,socket,20,2048,21.67
Pipeline,socket,20,4096,29.48
Pipeline,socket,20,8192,45.86
Pipeline,socket,20,16384,85.18
Pipeline,socket,20,32768,138.78
Pipeline,socket,20,65536,232.10
Pipeline,socket,20,131072,420.53
Pipeline,socket,20,262144,823.29
Pipeline,socket,20,524288,1586.26
Pipeline,socket,20,1048576,3064.68
Pipeline,socket,21,1,5.94
Pipeline,socket,21,2,5.91
Pipeline,socket,21,4,6.80
Pipeline,socket,21,8,5.91
Pipeline,socket,21,16,5.90
Pipeline,socket,21,32,9.12
Pipeline,socket,21,64,7.98
Pipeline,socket,21,128,13.03
Pipeline,socket,21,256,13.35
Pipeline,socket,21,512,14.66
Pipeline,socket,21,1024,17.40
Pipeline,socket,21,2048,22.39
Pipeline,socket,21,4096,30.76
Pipeline,socket,21,8192,48.11
Pipeline,socket,21,16384,90.72
Pipeline,socket,21,32768,141.63
Pipeline,socket,21,65536,239.75
Pipeline,socket,21,131072,455.99
Pipeline,socket,21,262144,842.14
Pipeline,socket,21,524288,1683.02
Pipeline,socket,21,1048576,3275.36
Pipeline,socket,22,1,6.15
Pipeline,socket,22,2,6.09
Pipeline,socket,22,4,6.83
Pipeline,socket,22,8,6.13
Pipeline,socket,22,16,6.15
Pipeline,socket,22,32,9.24
Pipeline,socket,22,64,8.35
Pipeline,socket,22,128,13.78
Pipeline,socket,22,256,13.99
Pipeline,socket,22,512,15.49
Pipeline,socket,22,1024,18.58
Pipeline,socket,22,2048,23.86
Pipeline,socket,22,4096,32.52
Pipeline,socket,22,8192,50.59
Pipeline,socket,22,16384,93.46
Pipeline,socket,22,32768,148.06
Pipeline,socket,22,65536,252.91
Pipeline,socket,22,131072,475.49
Pipeline,socket,22,262144,901.15
Pipeline,socket,22,524288,1738.01
Pipeline,socket,22,1048576,3435.48
Pipeline,socket,23,1,6.35
Pipeline,socket,23,2,6.27
Pipeline,socket,23,4,7.09
Pipeline,socket,23,8,6.27
Pipeline,socket,23,16,6.25
Pipeline,socket,23,32,9.51
Pipeline,socket,23,64,8.56
Pipeline,socket,23,128,14.25
Pipeline,socket,23,256,14.66
Pipeline,socket,23,512,16.14
Pipeline,socket,23,1024,19.38
Pipeline,socket,23,2048,25.33
Pipeline,socket,23,4096,34.83
Pipeline,socket,23,8192,54.55
Pipeline,socket,23,16384,100.54
Pipeline,socket,23,32768,160.95
Pipeline,socket,23,65536,270.84
Pipeline,socket,23,131072,514.31
Pipeline,socket,23,262144,976.68
Pipeline,socket,23,524288,1907.55
Pipeline,socket,23,1048576,3754.32
Pipeline,socket,24,1,6.79
Pipeline,socket,24,2,6.76
Pipeline,socket,24,4,7.71
Pipeline,socket,24,8,6.72
Pipeline,socket,24,16,6.74
Pipeline,socket,24,32,10.24
Pipeline,socket,24,64,9.23
Pipeline,socket,24,128,15.37
Pipeline,socket,24,256,15.70
Pipeline,socket,24,512,17.27
Pipeline,socket,24,1024,21.09
Pipeline,socket,24,2048,26.75
Pipeline,socket,24,4096,36.44
Pipeline,socket,24,8192,56.43
Pipeline,socket,24,16384,106.77
Pipeline,socket,24,32768,170.09
Pipeline,socket,24,65536,289.97
Pipeline,socket,24,131072,569.28
Pipeline,socket,24,262144,1060.46
Pipeline,socket,24,524288,1992.75
Pipeline,socket,24,1048576,3914.57
Pipeline,socket,25,1,6.50
Pipeline,socket,25,2,7.47
Pipeline,socket,25,4,6.52
Pipeline,socket,25,8,6.45
Pipeline,socket,25,16,6.45
Pipeline,socket,25,32,10.08
Pipeline,socket,25,64,9.02
Pipeline,socket,25,128,15.22
Pipeline,socket,25,256,15.85
Pipeline,socket,25,512,17.49
Pipeline,socket,25,1024,21.37
Pipeline,socket,25,2048,27.06
Pipeline,socket,25,4096,37.16
Pipeline,socket,25,8192,57.61
Pipeline,socket,25,16384,108.93
Pipeline,socket,25,32768,173.31
Pipeline,socket,25,65536,295.79
Pipeline,socket,25,131072,571.72
Pipeline,socket,25,262144,1077.84
Pipeline,socket,25,524288,2081.17
Pipeline,socket,25,1048576,4129.00
Pipeline,socket,26,1,6.77
Pipeline,socket,26,2,7.87
Pipeline,socket,26,4,6.82
Pipeline,socket,26,8,6.81
Pipeline,socket,26,16,6.75
Pipeline,socket,26,32,10.54
Pipeline,socket,26,64,9.40
Pipeline,socket,26,128,15.92
Pipeline,socket,26,256,16.23
Pipeline,socket,26,512,18.38
Pipeline,socket,26,1024,22.33
Pipeline,socket,26,2048,28.90
Pipeline,socket,26,4096,39.12
Pipeline,socket,26,8192,60.56
Pipeline,socket,26,16384,113.17
