Algorithm,Allocation,Processes,MessageSize,Latency
Binomial,core,14,512,1.70
Binomial,core,14,1024,2.11
Binomial,core,14,2048,2.60
Binomial,core,14,4096,4.06
Binomial,core,14,8192,6.33
Binomial,core,14,16384,14.62
Binomial,core,14,32768,25.28
Binomial,core,14,65536,47.02
Binomial,core,14,131072,92.82
Binomial,core,14,262144,178.51
Binomial,core,14,524288,326.03
Binomial,core,14,1048576,573.59
Binomial,core,15,1,0.99
Binomial,core,15,2,0.85
Binomial,core,15,4,0.78
Binomial,core,15,8,0.78
Binomial,core,15,16,0.77
Binomial,core,15,32,0.97
Binomial,core,15,64,0.93
Binomial,core,15,128,1.39
Binomial,core,15,256,1.42
Binomial,core,15,512,1.77
Binomial,core,15,1024,2.08
Binomial,core,15,2048,2.70
Binomial,core,15,4096,4.21
Binomial,core,15,8192,6.36
Binomial,core,15,16384,15.70
Binomial,core,15,32768,26.88
Binomial,core,15,65536,49.39
Binomial,core,15,131072,101.30
Binomial,core,15,262144,194.24
Binomial,core,15,524288,372.22
Binomial,core,15,1048576,637.53
Binomial,core,16,1,1.11
Binomial,core,16,2,1.11
Binomial,core,16,4,1.10
Binomial,core,16,8,1.12
Binomial,core,16,16,1.09
Binomial,core,16,32,1.34
Binomial,core,16,64,1.32
Binomial,core,16,128,1.92
Binomial,core,16,256,2.37
Binomial,core,16,512,2.20
Binomial,core,16,1024,2.51
Binomial,core,16,2048,3.24
Binomial,core,16,4096,4.90
Binomial,core,16,8192,7.29
Binomial,core,16,16384,17.16
Binomial,core,16,32768,29.18
Binomial,core,16,65536,55.05
Binomial,core,16,131072,106.73
Binomial,core,16,262144,218.09
Binomial,core,16,524288,422.89
Binomial,core,16,1048576,682.82
Binomial,core,17,1,2.27
Binomial,core,17,2,2.23
Binomial,core,17,4,2.24
Binomial,core,17,8,2.24
Binomial,core,17,16,2.22
Binomial,core,17,32,2.47
Binomial,core,17,64,2.63
Binomial,core,17,128,3.16
Binomial,core,17,256,3.04
Binomial,core,17,512,3.19
Binomial,core,17,1024,3.59
Binomial,core,17,2048,4.38
Binomial,core,17,4096,6.19
Binomial,core,17,8192,8.64
Binomial,core,17,16384,19.56
Binomial,core,17,32768,32.60
Binomial,core,17,65536,64.80
Binomial,core,17,131072,123.54
Binomial,core,17,262144,247.60
Binomial,core,17,524288,478.16
Binomial,core,17,1048576,830.14
Binomial,core,18,1,2.23
Binomial,core,18,2,2.24
Binomial,core,18,4,2.24
Binomial,core,18,8,2.22
Binomial,core,18,16,2.22
Binomial,core,18,32,2.48
Binomial,core,18,64,2.46
Binomial,core,18,128,3.27
Binomial,core,18,256,3.08
Binomial,core,18,512,3.17
Binomial,core,18,1024,3.59
Binomial,core,18,2048,4.39
Binomial,core,18,4096,6.31
Binomial,core,18,8192,9.01
Binomial,core,18,16384,21.13
Binomial,core,18,32768,35.98
Binomial,core,18,65536,68.78
Binomial,core,18,131072,138.33
Binomial,core,18,262144,271.83
Binomial,core,18,524288,530.71
Binomial,core,18,1048576,867.67
Binomial,core,19,1,2.32
Binomial,core,19,2,2.15
Binomial,core,19,4,2.11
Binomial,core,19,8,2.12
Binomial,core,19,16,2.13
Binomial,core,19,32,2.35
Binomial,core,19,64,2.34
Binomial,core,19,128,3.38
Binomial,core,19,256,3.04
Binomial,core,19,512,3.18
Binomial,core,19,1024,3.63
Binomial,core,19,2048,4.42
Binomial,core,19,4096,6.36
Binomial,core,19,8192,9.21
Binomial,core,19,16384,22.23
