Algorithm,Allocation,Processes,MessageSize,Latency
Binomial,core,17,32,3.24
Binomial,core,17,64,4.04
Binomial,core,17,128,4.04
Binomial,core,17,256,4.32
Binomial,core,17,512,5.17
Binomial,core,17,1024,6.94
Binomial,core,17,2048,9.66
Binomial,core,17,4096,14.13
Binomial,core,17,8192,22.78
Binomial,core,17,16384,23.59
Binomial,core,17,32768,30.47
Binomial,core,17,65536,54.03
Binomial,core,17,131072,87.86
Binomial,core,17,262144,109.89
Binomial,core,17,524288,211.22
Binomial,core,17,1048576,284.63
Binomial,core,18,1,2.46
Binomial,core,18,2,2.46
Binomial,core,18,4,2.50
Binomial,core,18,8,2.53
Binomial,core,18,16,2.72
Binomial,core,18,32,3.12
Binomial,core,18,64,3.88
Binomial,core,18,128,4.01
Binomial,core,18,256,4.34
Binomial,core,18,512,5.39
Binomial,core,18,1024,7.02
Binomial,core,18,2048,9.86
Binomial,core,18,4096,14.71
Binomial,core,18,8192,24.63
Binomial,core,18,16384,26.14
Binomial,core,18,32768,25.68
Binomial,core,18,65536,52.23
Binomial,core,18,131072,128.54
Binomial,core,18,262144,151.95
Binomial,core,18,524288,178.70
Binomial,core,18,1048576,265.64
Binomial,core,19,1,2.42
Binomial,core,19,2,2.41
Binomial,core,19,4,2.46
Binomial,core,19,8,2.51
Binomial,core,19,16,2.74
Binomial,core,19,32,3.38
Binomial,core,19,64,4.15
Binomial,core,19,128,3.86
Binomial,core,19,256,4.38
Binomial,core,19,512,5.30
Binomial,core,19,1024,7.03
Binomial,core,19,2048,10.21
Binomial,core,19,4096,16.17
Binomial,core,19,8192,27.21
Binomial,core,19,16384,29.51
Binomial,core,19,32768,35.64
Binomial,core,19,65536,80.62
Binomial,core,19,131072,134.92
Binomial,core,19,262144,168.92
Binomial,core,19,524288,223.30
Binomial,core,19,1048576,276.52
Binomial,core,20,1,2.26
Binomial,core,20,2,2.24
Binomial,core,20,4,2.30
Binomial,core,20,8,2.43
Binomial,core,20,16,2.60
Binomial,core,20,32,3.21
Binomial,core,20,64,4.15
Binomial,core,20,128,3.76
Binomial,core,20,256,4.41
Binomial,core,20,512,5.33
Binomial,core,20,1024,7.17
Binomial,core,20,2048,10.36
Binomial,core,20,4096,16.59
Binomial,core,20,8192,28.68
Binomial,core,20,16384,31.16
Binomial,core,20,32768,35.88
Binomial,core,20,65536,80.45
Binomial,core,20,131072,93.71
Binomial,core,20,262144,130.56
Binomial,core,20,524288,206.45
Binomial,core,20,1048576,268.87
Binomial,core,21,1,2.14
Binomial,core,21,2,2.13
Binomial,core,21,4,2.20
Binomial,core,21,8,2.34
Binomial,core,21,16,2.53
Binomial,core,21,32,3.65
Binomial,core,21,64,3.44
Binomial,core,21,128,3.86
Binomial,core,21,256,4.44
Binomial,core,21,512,5.37
Binomial,core,21,1024,7.31
Binomial,core,21,2048,11.24
Binomial,core,21,4096,17.80
Binomial,core,21,8192,30.81
Binomial,core,21,16384,33.44
Binomial,core,21,32768,39.99
Binomial,core,21,65536,63.26
Binomial,core,21,131072,109.09
Binomial,core,21,262144,126.06
Binomial,core,21,524288,213.59
Binomial,core,21,1048576,292.20
Binomial,core,22,1,2.08
Binomial,core,22,2,2.10
Binomial,core,22,4,2.16
Binomial,core,22,8,2.29
Binomial,core,22,16,2.62
Binomial,core,22,32,3.36
Binomial,core,22,64,3.30
Binomial,core,22,128,3.85
Binomial,core,22,256,4.43
Binomial,core,22,512,5.49
Binomial,core,22,1024,7.58
Binomial,core,22,2048,11.65
Binomial,core,22,4096,18.81
Binomial,core,22,8192,33.30
Binomial,core,22,16384,36.39
Binomial,core,22,32768,42.03
Binomial,core,22,65536,62.53
Binomial,core,22,131072,116.65
Binomial,core,22,262144,123.58
Binomial,core,22,524288,204.54
Binomial,core,22,1048576,302.28
Binomial,core,23,1,1.97
Binomial,core,23,2,2.02
Binomial,core,23,4,2.05
Binomial,core,23,8,2.17
Binomial,core,23,16,2.62
Binomial,core,23,32,3.67
Binomial,core,23,64,3.24
Binomial,core,23,128,3.84
Binomial,core,23,256,4.50
Binomial,core,23,512,5.68
Binomial,core,23,1024,7.94
Binomial,core,23,2048,12.16
Binomial,core,23,4096,20.19
Binomial,core,23,8192,35.68
Binomial,core,23,16384,39.63
Binomial,core,23,32768,44.41
Binomial,core,23,65536,63.86
Binomial,core,23,131072,121.65
Binomial,core,23,262144,134.66
Binomial,core,23,524288,218.02
Binomial,core,23,1048576,315.99
Binomial,core,24,1,1.97
Binomial,core,24,2,1.98
Binomial,core,24,4,2.10
Binomial,core,24,8,2.24
Binomial,core,24,16,2.62
Binomial,core,24,32,3.42
Binomial,core,24,64,3.17
Binomial,core,24,128,3.85
Binomial,core,24,256,4.47
Binomial,core,24,512,5.85
Binomial,core,24,1024,8.32
Binomial,core,24,2048,12.92
Binomial,core,24,4096,21.59
Binomial,core,24,8192,38.04
Binomial,core,24,16384,41.45
Binomial,core,24,32768,43.04
Binomial,core,24,65536,85.22
Binomial,core,24,131072,159.64
Binomial,core,24,262144,150.28
Binomial,core,24,524288,201.03
Binomial,core,24,1048576,293.45
Binomial,core,25,1,1.95
Binomial,core,25,2,1.96
Binomial,core,25,4,1.97
Binomial,core,25,8,2.17
Binomial,core,25,16,2.98
Binomial,core,25,32,2.89
Binomial,core,25,64,3.14
Binomial,core,25,128,3.76
Binomial,core,25,256,4.35
Binomial,core,25,512,5.85
Binomial,core,25,1024,8.78
Binomial,core,25,2048,13.72
Binomial,core,25,4096,22.76
Binomial,core,25,8192,40.50
Binomial,core,25,16384,43.61
Binomial,core,25,32768,45.54
Binomial,core,25,65536,62.14
Binomial,core,25,131072,123.16
Binomial,core,25,262144,198.22
Binomial,core,25,524288,226.38
Binomial,core,25,1048576,306.86
Binomial,core,26,1,1.81
Binomial,core,26,2,1.78
Binomial,core,26,4,1.82
Binomial,core,26,8,1.93
Binomial,core,26,16,2.68
Binomial,core,26,32,2.65
Binomial,core,26,64,2.87
Binomial,core,26,128,3.45
Binomial,core,26,256,4.15
Binomial,core,26,512,5.90
Binomial,core,26,1024,9.10
Binomial,core,26,2048,14.09
Binomial,core,26,4096,23.86
Binomial,core,26,8192,44.12
Binomial,core,26,16384,45.60
Binomial,core,26,32768,43.11
Binomial,core,26,65536,97.35
Binomial,core,26,131072,94.53
Binomial,core,26,262144,133.56
Binomial,core,26,524288,187.17
Binomial,core,26,1048576,298.24
Binomial,core,27,1,1.75
Binomial,core,27,2,1.74
Binomial,core,27,4,1.83
Binomial,core,27,8,2.08
Binomial,core,27,16,2.55
Binomial,core,27,32,2.57
Binomial,core,27,64,2.83
Binomial,core,27,128,3.46
Binomial,core,27,256,4.20
Binomial,core,27,512,5.91
Binomial,core,27,1024,9.55
Binomial,core,27,2048,14.95
Binomial,core,27,4096,25.90
Binomial,core,27,8192,46.48
Binomial,core,27,16384,47.49
Binomial,core,27,32768,43.08
Binomial,core,27,65536,80.70
Binomial,core,27,131072,150.48
Binomial,core,27,262144,142.84
Binomial,core,27,524288,211.52
Binomial,core,27,1048576,309.27
Binomial,core,28,1,1.66
Binomial,core,28,2,1.65
Binomial,core,28,4,1.75
Binomial,core,28,8,2.32
Binomial,core,28,16,2.19
Binomial,core,28,32,2.48
Binomial,core,28,64,2.83
Binomial,core,28,128,3.44
Binomial,core,28,256,4.29
Binomial,core,28,512,5.99
Binomial,core,28,1024,9.41
Binomial,core,28,2048,15.34
Binomial,core,28,4096,26.54
Binomial,core,28,8192,48.41
Binomial,core,28,16384,49.63
Binomial,core,28,32768,42.80
