Algorithm,Allocation,Processes,MessageSize,Latency
Linear_Nb,core,15,524288,175.98
Linear_Nb,core,15,1048576,955.37
Linear_Nb,core,16,1,1.37
Linear_Nb,core,16,2,1.34
Linear_Nb,core,16,4,1.39
Linear_Nb,core,16,8,1.44
Linear_Nb,core,16,16,1.57
Linear_Nb,core,16,32,1.96
Linear_Nb,core,16,64,2.19
Linear_Nb,core,16,128,2.49
Linear_Nb,core,16,256,3.08
Linear_Nb,core,16,512,3.78
Linear_Nb,core,16,1024,5.20
Linear_Nb,core,16,2048,7.71
Linear_Nb,core,16,4096,12.04
Linear_Nb,core,16,8192,20.45
Linear_Nb,core,16,16384,21.77
Linear_Nb,core,16,32768,28.67
Linear_Nb,core,16,65536,65.45
Linear_Nb,core,16,131072,105.84
Linear_Nb,core,16,262144,141.22
Linear_Nb,core,16,524288,229.96
Linear_Nb,core,16,1048576,302.22
Linear_Nb,core,17,1,2.60
Linear_Nb,core,17,2,2.63
Linear_Nb,core,17,4,2.65
Linear_Nb,core,17,8,2.70
Linear_Nb,core,17,16,2.91
Linear_Nb,core,17,32,3.30
Linear_Nb,core,17,64,3.89
Linear_Nb,core,17,128,4.30
Linear_Nb,core,17,256,4.37
Linear_Nb,core,17,512,5.35
Linear_Nb,core,17,1024,7.02
Linear_Nb,core,17,2048,9.87
Linear_Nb,core,17,4096,14.56
Linear_Nb,core,17,8192,23.52
Linear_Nb,core,17,16384,23.64
Linear_Nb,core,17,32768,31.49
Linear_Nb,core,17,65536,64.71
Linear_Nb,core,17,131072,84.56
Linear_Nb,core,17,262144,112.78
Linear_Nb,core,17,524288,211.46
Linear_Nb,core,17,1048576,296.89
Linear_Nb,core,18,1,2.55
Linear_Nb,core,18,2,2.55
Linear_Nb,core,18,4,2.59
Linear_Nb,core,18,8,2.64
Linear_Nb,core,18,16,2.85
Linear_Nb,core,18,32,3.15
Linear_Nb,core,18,64,3.89
Linear_Nb,core,18,128,4.09
Linear_Nb,core,18,256,4.36
Linear_Nb,core,18,512,5.43
Linear_Nb,core,18,1024,7.08
Linear_Nb,core,18,2048,9.93
Linear_Nb,core,18,4096,14.96
Linear_Nb,core,18,8192,24.99
Linear_Nb,core,18,16384,26.26
Linear_Nb,core,18,32768,32.84
Linear_Nb,core,18,65536,72.50
Linear_Nb,core,18,131072,81.63
Linear_Nb,core,18,262144,171.13
Linear_Nb,core,18,524288,208.44
Linear_Nb,core,18,1048576,286.78
Linear_Nb,core,19,1,2.44
Linear_Nb,core,19,2,2.45
Linear_Nb,core,19,4,2.54
Linear_Nb,core,19,8,2.61
Linear_Nb,core,19,16,2.79
Linear_Nb,core,19,32,3.44
Linear_Nb,core,19,64,4.08
Linear_Nb,core,19,128,4.16
Linear_Nb,core,19,256,4.54
Linear_Nb,core,19,512,5.50
Linear_Nb,core,19,1024,7.32
Linear_Nb,core,19,2048,10.41
Linear_Nb,core,19,4096,16.51
Linear_Nb,core,19,8192,27.60
Linear_Nb,core,19,16384,29.58
Linear_Nb,core,19,32768,34.20
Linear_Nb,core,19,65536,78.96
Linear_Nb,core,19,131072,128.99
Linear_Nb,core,19,262144,159.66
Linear_Nb,core,19,524288,215.11
Linear_Nb,core,19,1048576,279.38
Linear_Nb,core,20,1,2.29
Linear_Nb,core,20,2,2.28
Linear_Nb,core,20,4,2.34
Linear_Nb,core,20,8,2.47
Linear_Nb,core,20,16,2.65
Linear_Nb,core,20,32,3.24
Linear_Nb,core,20,64,3.95
Linear_Nb,core,20,128,4.02
Linear_Nb,core,20,256,4.48
Linear_Nb,core,20,512,5.36
Linear_Nb,core,20,1024,7.25
Linear_Nb,core,20,2048,10.48
Linear_Nb,core,20,4096,16.74
Linear_Nb,core,20,8192,28.94
Linear_Nb,core,20,16384,31.27
Linear_Nb,core,20,32768,38.16
Linear_Nb,core,20,65536,76.40
Linear_Nb,core,20,131072,137.13
Linear_Nb,core,20,262144,160.70
Linear_Nb,core,20,524288,182.17
Linear_Nb,core,20,1048576,301.00
Linear_Nb,core,21,1,2.15
Linear_Nb,core,21,2,2.15
Linear_Nb,core,21,4,2.23
Linear_Nb,core,21,8,2.35
Linear_Nb,core,21,16,2.48
Linear_Nb,core,21,32,3.15
Linear_Nb,core,21,64,3.87
Linear_Nb,core,21,128,4.08
Linear_Nb,core,21,256,4.45
Linear_Nb,core,21,512,5.38
Linear_Nb,core,21,1024,7.36
Linear_Nb,core,21,2048,11.39
Linear_Nb,core,21,4096,18.07
Linear_Nb,core,21,8192,31.28
Linear_Nb,core,21,16384,33.72
Linear_Nb,core,21,32768,40.44
Linear_Nb,core,21,65536,63.19
Linear_Nb,core,21,131072,107.73
Linear_Nb,core,21,262144,125.25
Linear_Nb,core,21,524288,213.69
Linear_Nb,core,21,1048576,306.29
Linear_Nb,core,22,1,2.07
Linear_Nb,core,22,2,2.07
Linear_Nb,core,22,4,2.12
Linear_Nb,core,22,8,2.28
Linear_Nb,core,22,16,2.67
Linear_Nb,core,22,32,3.41
Linear_Nb,core,22,64,3.29
Linear_Nb,core,22,128,3.84
Linear_Nb,core,22,256,4.55
Linear_Nb,core,22,512,5.66
Linear_Nb,core,22,1024,7.81
Linear_Nb,core,22,2048,11.72
Linear_Nb,core,22,4096,18.95
Linear_Nb,core,22,8192,33.23
Linear_Nb,core,22,16384,36.48
Linear_Nb,core,22,32768,41.71
Linear_Nb,core,22,65536,96.25
Linear_Nb,core,22,131072,161.40
Linear_Nb,core,22,262144,192.14
Linear_Nb,core,22,524288,211.93
Linear_Nb,core,22,1048576,342.25
Linear_Nb,core,23,1,2.13
Linear_Nb,core,23,2,2.09
Linear_Nb,core,23,4,2.16
Linear_Nb,core,23,8,2.31
Linear_Nb,core,23,16,2.70
Linear_Nb,core,23,32,3.21
Linear_Nb,core,23,64,3.31
Linear_Nb,core,23,128,4.16
Linear_Nb,core,23,256,4.60
Linear_Nb,core,23,512,5.81
Linear_Nb,core,23,1024,8.32
Linear_Nb,core,23,2048,12.68
Linear_Nb,core,23,4096,21.07
Linear_Nb,core,23,8192,37.16
Linear_Nb,core,23,16384,40.02
Linear_Nb,core,23,32768,45.07
Linear_Nb,core,23,65536,63.47
Linear_Nb,core,23,131072,117.45
Linear_Nb,core,23,262144,126.28
Linear_Nb,core,23,524288,209.22
Linear_Nb,core,23,1048576,315.88
Linear_Nb,core,24,1,2.01
Linear_Nb,core,24,2,2.00
Linear_Nb,core,24,4,2.13
Linear_Nb,core,24,8,2.21
Linear_Nb,core,24,16,2.66
Linear_Nb,core,24,32,3.57
Linear_Nb,core,24,64,3.23
Linear_Nb,core,24,128,3.83
Linear_Nb,core,24,256,4.44
Linear_Nb,core,24,512,5.88
Linear_Nb,core,24,1024,8.52
Linear_Nb,core,24,2048,13.30
Linear_Nb,core,24,4096,22.33
Linear_Nb,core,24,8192,39.67
Linear_Nb,core,24,16384,42.62
Linear_Nb,core,24,32768,46.87
Linear_Nb,core,24,65536,105.55
Linear_Nb,core,24,131072,123.96
Linear_Nb,core,24,262144,157.65
Linear_Nb,core,24,524288,236.35
Linear_Nb,core,24,1048576,308.66
Linear_Nb,core,25,1,1.94
Linear_Nb,core,25,2,1.93
Linear_Nb,core,25,4,1.97
Linear_Nb,core,25,8,2.14
Linear_Nb,core,25,16,3.02
Linear_Nb,core,25,32,3.02
Linear_Nb,core,25,64,3.13
Linear_Nb,core,25,128,3.82
Linear_Nb,core,25,256,4.42
Linear_Nb,core,25,512,5.92
Linear_Nb,core,25,1024,8.99
Linear_Nb,core,25,2048,13.94
Linear_Nb,core,25,4096,23.03
Linear_Nb,core,25,8192,41.21
Linear_Nb,core,25,16384,43.34
Linear_Nb,core,25,32768,32.98
Linear_Nb,core,25,65536,88.75
Linear_Nb,core,25,131072,128.14
