Core 1,Core 2,Message Size,Latency
0,11,512,0.43
0,11,1024,0.54
0,11,2048,0.75
0,11,4096,1.2
0,11,8192,2.03
0,11,16384,3.16
0,11,32768,5.05
0,11,65536,8.46
0,11,131072,15.08
0,11,262144,17.36
0,11,524288,32.33
0,11,1048576,67.56
0,12,1,0.51
0,12,2,0.48
0,12,4,0.45
0,12,8,0.44
0,12,16,0.42
0,12,32,0.57
0,12,64,0.57
0,12,128,0.96
0,12,256,1.1
0,12,512,1.28
0,12,1024,1.46
0,12,2048,1.99
0,12,4096,2.78
0,12,8192,4.36
0,12,16384,7.16
0,12,32768,12.23
0,12,65536,22.38
0,12,131072,42.94
0,12,262144,18.46
0,12,524288,33.68
0,12,1048576,69.28
0,13,1,0.44
0,13,2,0.44
0,13,4,0.42
0,13,8,0.41
0,13,16,0.41
0,13,32,0.57
0,13,64,0.56
0,13,128,0.96
0,13,256,1.06
0,13,512,1.24
0,13,1024,1.47
0,13,2048,2.0
0,13,4096,2.81
0,13,8192,4.37
0,13,16384,7.14
0,13,32768,12.19
0,13,65536,22.21
0,13,131072,42.35
0,13,262144,18.21
0,13,524288,33.72
0,13,1048576,70.42
0,14,1,0.47
0,14,2,0.45
0,14,4,0.43
0,14,8,0.42
0,14,16,0.41
0,14,32,0.56
0,14,64,0.56
0,14,128,1.01
0,14,256,1.08
0,14,512,1.26
0,14,1024,1.46
0,14,2048,1.99
0,14,4096,2.78
0,14,8192,4.36
0,14,16384,7.21
0,14,32768,12.16
0,14,65536,22.25
0,14,131072,42.24
0,14,262144,18.36
0,14,524288,33.7
0,14,1048576,69.13
0,15,1,0.44
0,15,2,0.43
0,15,4,0.42
0,15,8,0.41
0,15,16,0.41
0,15,32,0.56
0,15,64,0.55
0,15,128,0.96
0,15,256,1.08
0,15,512,1.25
0,15,1024,1.47
0,15,2048,2.0
0,15,4096,2.81
0,15,8192,4.36
0,15,16384,7.12
0,15,32768,12.16
0,15,65536,22.1
0,15,131072,41.22
0,15,262144,18.37
0,15,524288,33.74
0,15,1048576,69.65
0,16,1,0.46
0,16,2,0.44
0,16,4,0.43
0,16,8,0.42
0,16,16,0.41
0,16,32,0.56
0,16,64,0.55
0,16,128,0.97
0,16,256,1.09
0,16,512,1.23
0,16,1024,1.47
0,16,2048,1.99
0,16,4096,2.77
0,16,8192,4.35
0,16,16384,7.09
0,16,32768,12.13
0,16,65536,22.14
0,16,131072,42.0
0,16,262144,18.35
0,16,524288,33.52
0,16,1048576,69.46
0,17,1,0.46
0,17,2,0.44
0,17,4,0.43
