Core_1,Core_2,Message_Size,Latency
1,5,2048,0.74
1,5,4096,1.19
1,5,8192,2.02
1,5,16384,3.16
1,5,32768,5.01
1,5,65536,8.53
1,5,131072,15.24
1,5,262144,16.97
1,5,524288,31.89
1,5,1048576,66.84
1,6,1,0.19
1,6,2,0.19
1,6,4,0.19
1,6,8,0.19
1,6,16,0.19
1,6,32,0.24
1,6,64,0.23
1,6,128,0.33
1,6,256,0.37
1,6,512,0.44
1,6,1024,0.55
1,6,2048,0.75
1,6,4096,1.2
1,6,8192,2.03
1,6,16384,3.14
1,6,32768,4.97
1,6,65536,8.38
1,6,131072,14.94
1,6,262144,17.24
1,6,524288,32.3
1,6,1048576,68.76
1,7,1,0.19
1,7,2,0.19
1,7,4,0.19
1,7,8,0.19
1,7,16,0.19
1,7,32,0.24
1,7,64,0.23
1,7,128,0.34
1,7,256,0.38
1,7,512,0.44
1,7,1024,0.54
1,7,2048,0.75
1,7,4096,1.21
1,7,8192,2.04
1,7,16384,3.15
1,7,32768,4.98
1,7,65536,8.47
1,7,131072,15.06
1,7,262144,17.35
1,7,524288,32.39
1,7,1048576,69.13
1,8,1,0.22
1,8,2,0.21
1,8,4,0.21
1,8,8,0.2
1,8,16,0.2
1,8,32,0.24
1,8,64,0.23
1,8,128,0.33
1,8,256,0.37
1,8,512,0.44
1,8,1024,0.55
1,8,2048,0.75
1,8,4096,1.2
1,8,8192,2.02
1,8,16384,3.19
1,8,32768,4.98
1,8,65536,8.43
1,8,131072,15.04
1,8,262144,17.11
1,8,524288,32.49
1,8,1048576,68.55
1,9,1,0.2
1,9,2,0.2
1,9,4,0.19
1,9,8,0.19
1,9,16,0.19
1,9,32,0.23
1,9,64,0.23
1,9,128,0.33
1,9,256,0.36
1,9,512,0.43
1,9,1024,0.54
1,9,2048,0.75
1,9,4096,1.19
1,9,8192,2.03
1,9,16384,3.17
1,9,32768,4.95
1,9,65536,8.36
1,9,131072,14.89
1,9,262144,17.19
1,9,524288,32.26
1,9,1048576,67.8
1,10,1,0.19
1,10,2,0.19
1,10,4,0.19
1,10,8,0.19
1,10,16,0.19
1,10,32,0.23
1,10,64,0.23
1,10,128,0.31
1,10,256,0.35
1,10,512,0.41
1,10,1024,0.54
1,10,2048,0.75
1,10,4096,1.2
1,10,8192,2.04
1,10,16384,3.18
1,10,32768,5.03
1,10,65536,8.56
1,10,131072,15.31
1,10,262144,17.0
1,10,524288,31.8
1,10,1048576,65.06
1,11,1,0.23
1,11,2,0.22
1,11,4,0.22
1,11,8,0.22
1,11,16,0.21
1,11,32,0.26
1,11,64,0.25
1,11,128,0.34
1,11,256,0.37
1,11,512,0.44
1,11,1024,0.54
1,11,2048,0.75
1,11,4096,1.2
1,11,8192,2.02
1,11,16384,3.15
1,11,32768,4.96
1,11,65536,8.35
1,11,131072,14.87
1,11,262144,17.19
1,11,524288,32.21
1,11,1048576,67.66
1,12,1,0.41
1,12,2,0.4
1,12,4,0.4
1,12,8,0.4
1,12,16,0.4
1,12,32,0.56
1,12,64,0.55
1,12,128,0.94
1,12,256,1.05
1,12,512,1.26
1,12,1024,1.45
1,12,2048,2.0
1,12,4096,2.81
1,12,8192,4.38
1,12,16384,7.16
1,12,32768,12.21
1,12,65536,22.36
1,12,131072,42.85
1,12,262144,18.14
1,12,524288,33.54
1,12,1048576,69.52
